id,rating_numerator,name,retweet_count,favorite_count,type,p1_dog,display_text_range,created_date,created_time
892177421306343426,13,Tilly,5280,29230,Chihuahua,True,138,2017-08-01,0
891815181378084864,12,Archie,3466,21974,Chihuahua,True,121,2017-07-31,0
891327558926688256,12,Franklin,7723,35168,basset,True,138,2017-07-29,16
890971913173991426,13,Jax,1649,10323,Appenzeller,True,140,2017-07-28,16
890609185150312448,13,Zoey,3605,24433,Irish_terrier,True,122,2017-07-27,16
890240255349198849,14,Cassie,6078,27848,Pembroke,True,133,2017-07-26,15
890006608113172480,13,Koda,6120,26953,Samoyed,True,130,2017-07-26,0
889880896479866881,13,Bruno,4142,24495,French_bulldog,True,107,2017-07-25,16
889638837579907072,12,Ted,3702,23572,French_bulldog,True,91,2017-07-25,0
889531135344209921,13,Stuart,1874,13304,golden_retriever,True,118,2017-07-24,17
889278841981685760,13,Oliver,4426,22014,whippet,True,138,2017-07-24,0
888917238123831296,12,Jim,3746,25516,golden_retriever,True,86,2017-07-23,0
888804989199671297,13,Zeke,3517,22385,golden_retriever,True,128,2017-07-22,16
888554962724278272,13,Ralphus,2868,17252,Siberian_husky,True,87,2017-07-22,0
888078434458587136,12,Gerald,2886,19093,French_bulldog,True,127,2017-07-20,16
887705289381826560,13,Jeffrey,4521,26528,basset,True,127,2017-07-19,16
887473957103951883,13,Canela,14970,59970,Pembroke,True,99,2017-07-19,0
886983233522544640,13,Maya,6294,30256,Chihuahua,True,101,2017-07-17,16
886736880519319552,13,Mingus,2619,10457,kuvasz,True,121,2017-07-16,23
886366144734445568,12,Roscoe,2613,18495,French_bulldog,True,131,2017-07-15,23
886258384151887873,13,Waffles,5260,24443,pug,True,94,2017-07-15,16
885984800019947520,12,Jimbo,5591,28490,Blenheim_spaniel,True,140,2017-07-14,22
885528943205470208,13,Maisey,5309,31498,pug,True,109,2017-07-13,15
884925521741709313,12,Earl,14953,66954,Italian_greyhound,True,93,2017-07-12,0
884876753390489601,13,Lola,4644,24294,chow,True,118,2017-07-11,20
884562892145688576,13,Kevin,3897,21239,pug,True,66,2017-07-11,0
884162670584377345,12,Yogi,2493,17895,German_shepherd,True,140,2017-07-09,21
883838122936631299,12,Noah,2849,19084,Doberman,True,137,2017-07-09,0
883482846933004288,5,Bella,8231,40047,golden_retriever,True,112,2017-07-08,0
883360690899218434,13,Grizzwald,3061,19883,chow,True,139,2017-07-07,16
882992080364220416,13,Rusty,3231,20912,Eskimo_dog,True,108,2017-07-06,15
882762694511734784,12,Gus,4080,24697,Labrador_retriever,True,114,2017-07-06,0
882627270321602560,13,Stanley,5046,24520,Pembroke,True,136,2017-07-05,15
882268110199369728,13,Alfy,9588,39058,golden_retriever,True,114,2017-07-04,16
881906580714921986,12,Rey,2842,21379,Weimaraner,True,67,2017-07-03,16
881666595344535552,13,Gary,8921,44402,Saluki,True,115,2017-07-03,0
881536004380872706,14,a,13354,43298,Samoyed,True,130,2017-07-02,15
880465832366813184,12,Bella,5197,24930,golden_retriever,True,114,2017-06-29,16
880221127280381952,12,Jesse,3452,23576,Chihuahua,True,108,2017-06-29,0
879862464715927552,13,Romeo,2916,19644,basset,True,91,2017-06-28,0
879492040517615616,12,Bailey,2622,20642,German_short-haired_pointer,True,90,2017-06-27,0
879415818425184262,13,Duddles,37255,92496,English_springer,True,82,2017-06-26,19
879008229531029506,13,Beau,2233,16722,vizsla,True,94,2017-06-25,16
878776093423087618,13,Snoopy,3422,17072,Italian_greyhound,True,126,2017-06-25,0
878281511006478336,13,Shadow,1071,6759,basset,True,140,2017-06-23,16
878057613040115712,14,Emmy,5715,37016,French_bulldog,True,115,2017-06-23,1
877736472329191424,13,Aja,15740,68971,Chesapeake_Bay_retriever,True,93,2017-06-22,3
877556246731214848,12,Penny,3155,19841,basset,True,139,2017-06-21,15
877316821321428993,13,Dante,4325,24058,Saluki,True,137,2017-06-21,0
877201837425926144,12,Nelly,4608,23789,Pembroke,True,128,2017-06-20,16
876838120628539392,12,Ginger,2795,18162,bloodhound,True,125,2017-06-19,16
876484053909872640,13,Benedict,1992,16513,golden_retriever,True,127,2017-06-18,16
876120275196170240,13,Venti,3891,24617,Bernese_mountain_dog,True,140,2017-06-17,16
875747767867523072,13,Goose,3567,22036,Labrador_retriever,True,125,2017-06-16,16
875144289856114688,13,Nugget,4135,19364,Siberian_husky,True,133,2017-06-15,0
874680097055178752,12,Cash,3908,24514,Labrador_retriever,True,92,2017-06-13,17
874296783580663808,13,Jed,3472,22888,cocker_spaniel,True,114,2017-06-12,16
874012996292530176,13,Sebastian,8558,30030,Cardigan,True,139,2017-06-11,21
873213775632977920,12,Sierra,1326,6297,vizsla,True,140,2017-06-09,16
872620804844003328,13,Monkey,3058,18269,cocker_spaniel,True,116,2017-06-08,1
871879754684805121,13,Lassie,9213,32970,Shetland_sheepdog,True,136,2017-06-06,0
871762521631449091,12,Rover,2959,17820,Labrador_retriever,True,134,2017-06-05,16
871515927908634625,12,Napolean,2928,17849,komondor,True,140,2017-06-04,23
871032628920680449,13,Boomer,3214,20103,kelpie,True,136,2017-06-03,15
870656317836468226,13,Cody,2192,10856,Pembroke,True,138,2017-06-02,15
870374049280663552,13,Zoey,22672,73731,golden_retriever,True,139,2017-06-01,20
870308999962521604,13,Rumble,3538,19422,Greater_Swiss_Mountain_dog,True,125,2017-06-01,16
869772420881756160,13,Dewey,8663,37895,Pembroke,True,110,2017-05-31,4
869702957897576449,13,Stanley,5366,24973,Pembroke,True,139,2017-05-30,23
869596645499047938,12,Scout,2630,14139,Chihuahua,True,139,2017-05-30,16
869227993411051520,13,Gizmo,3192,18081,Pembroke,True,127,2017-05-29,16
868552278524837888,12,Cooper,1745,8940,whippet,True,139,2017-05-27,19
867774946302451713,13,Harold,6230,30159,Border_collie,True,61,2017-05-25,16
867421006826221569,12,Shikha,2109,14298,Eskimo_dog,True,133,2017-05-24,16
866686824827068416,12,Lili,2955,17070,flat-coated_retriever,True,134,2017-05-22,16
866450705531457537,13,Jamesy,30081,108511,French_bulldog,True,106,2017-05-22,0
866334964761202691,12,Coco,12166,46444,Samoyed,True,112,2017-05-21,16
865718153858494464,13,Boomer,4820,22855,golden_retriever,True,130,2017-05-19,23
865359393868664832,13,Sammy,4273,23516,Chesapeake_Bay_retriever,True,127,2017-05-19,0
865006731092295680,13,Nelly,6640,24967,Pembroke,True,117,2017-05-18,0
864279568663928832,12,Meatball,2572,13033,bull_mastiff,True,129,2017-05-16,0
864197398364647424,13,Paisley,7560,26554,golden_retriever,True,93,2017-05-15,19
863553081350529029,13,Neptune,3617,13640,Eskimo_dog,True,91,2017-05-14,0
863432100342583297,12,Belle,4545,21232,Staffordshire_bullterrier,True,128,2017-05-13,16
863062471531167744,13,Quinn,2087,7500,French_bulldog,True,139,2017-05-12,16
862831371563274240,13,Zooey,4448,17178,Australian_terrier,True,121,2017-05-12,0
862722525377298433,11,Dave,3078,15287,basset,True,135,2017-05-11,17
861383897657036800,13,Hobbes,9238,32196,Cardigan,True,72,2017-05-08,0
861005113778896900,12,Burt,3322,14956,German_shepherd,True,96,2017-05-06,23
860563773140209665,13,Lorenzo,1851,6705,Cardigan,True,138,2017-05-05,18
860524505164394496,13,Carl,4589,21186,Bedlington_terrier,True,97,2017-05-05,16
859924526012018688,12,Milky,3573,17574,French_bulldog,True,140,2017-05-04,0
859851578198683649,13,Trooper,3061,13950,Labrador_retriever,True,137,2017-05-03,19
858471635011153920,13,Sophie,4243,19429,Pembroke,True,113,2017-04-30,0
858107933456039936,12,Wyatt,2534,14192,golden_retriever,True,137,2017-04-28,23
857989990357356544,12,Rosie,2261,14460,French_bulldog,True,134,2017-04-28,16
857746408056729600,13,Thor,9319,30718,Labrador_retriever,True,137,2017-04-28,0
857263160327368704,13,Oscar,3964,18209,Samoyed,True,134,2017-04-26,16
857029823797047296,12,Zeke,3474,16993,golden_retriever,True,100,2017-04-26,0
856543823941562368,12,Callie,2537,14795,Boston_bull,True,136,2017-04-24,16
856282028240666624,14,Cermet,5565,25157,Chihuahua,True,121,2017-04-23,23
855459453768019968,12,quite,7287,27027,Blenheim_spaniel,True,138,2017-04-21,16
854732716440526848,12,Marlee,5335,20619,Pembroke,True,113,2017-04-19,16
854482394044301312,13,Arya,6004,26505,Chihuahua,True,100,2017-04-18,23
854365224396361728,13,Einstein,4135,17162,Pembroke,True,115,2017-04-18,16
853760880890318849,12,Alice,5107,26008,miniature_pinscher,True,118,2017-04-17,0
852912242202992640,12,Benny,1594,8235,Great_Dane,True,139,2017-04-14,15
852672615818899456,12,Aspen,1906,13619,golden_retriever,True,113,2017-04-13,23
852553447878664193,13,Jarod,3103,14865,bloodhound,True,124,2017-04-13,16
850753642995093505,11,Kyle,8058,28067,pug,True,137,2017-04-08,16
850380195714523136,13,Leo,2325,12052,Yorkshire_terrier,True,140,2017-04-07,16
850019790995546112,12,Boomer,4357,18744,Shetland_sheepdog,True,93,2017-04-06,16
849412302885593088,12,Noosh,2822,14652,schipperke,True,107,2017-04-05,0
848324959059550208,12,Odin,4135,22776,malamute,True,139,2017-04-02,0
848212111729840128,6,Jerry,2712,15017,Bedlington_terrier,True,138,2017-04-01,16
847842811428974592,12,Rontu,1186,5004,Bernese_mountain_dog,True,138,2017-03-31,16
847606175596138505,12,Cannon,3078,17325,Cardigan,True,105,2017-03-31,0
847251039262605312,12,Furzey,3909,18933,Airedale,True,100,2017-03-30,0
847157206088847362,11,Daisy,5247,18344,Staffordshire_bullterrier,True,139,2017-03-29,18
846874817362120707,13,Tuck,3543,18582,Shetland_sheepdog,True,133,2017-03-29,0
846514051647705089,13,Barney,10354,41084,golden_retriever,True,131,2017-03-28,0
846153765933735936,13,Vixen,8151,29038,giant_schnauzer,True,108,2017-03-27,0
846042936437604353,12,Jarvis,2582,14788,golden_retriever,True,97,2017-03-26,16
845397057150107648,13,Mimosa,1618,7072,Dandie_Dinmont,True,140,2017-03-24,22
